Raid legends promo codes 2026 :
RAIDTOGETHER

XP Brews x15, Silver x500,000, Energy x200

midgamejoke

Multi-Battles x50, 5-Star Chicken x1, XP Brew x1, Mystery Shard x1, Silver x100,000, Energy x1

midlove

Multi-Battles x100, XP Brews x15, Silver x150,000, Energy x200

DearSirNicholas

Multi-Battles x50, Epic Skill Tome x1, Energy Refill x1, Silver x300,000

EPYRE

XP Brews x10, Silver x100,000, Energy Refill x1

RAIDBROTHERHOOD

5-Star Chicken x1, XP Brews x15, Energy Refill x1, Silver x300,000

winmidgamewinter

Multi-Battles x100, XP Brews x30, Silver x200,000, Energy x100

AMG25

Multi-Battles x150, Epic Skill Tome x1, Energy x100, Silver x200,000

HUNTINRAID

5-Star Chicken x1, XP Brews x15, Energy Refill x1, Silver x300,000

GAMELEAP

Epic Skill Tome x1, Silver x100,000, Energy Refill x1

PP500

Multi-Battles x50, Silver x400,000, Energy x200, Plarium Points x500

2GTLUCKY2026

Deliana, Multi-Battles, Silver, Energy, Force Brews, Potions, Epic Skill Tome, XP Booster, Legendary Regeneration gear pieces

Raid legends New players 2026 

Code	Rewards
RAID7	Pelops
GOFAST	Rexelvarg, XP Brews x15, Greater Moglo Potions x16, Silver x300,000
STAGSLAYER	Stog Knight, Epic Skill Tome x1, XP Brews x46, Silver x160,000
KITTYCUT	Cheshire Cat
GETFENSH125	Fenshi, silver x200,000, XP Brews x10, Potions x40
UDKING	Ultimate Deathknight
MYTURN	Alure, Mogio XP Brews x20, Silver x200,000
GODSPEED	Apothecary, Moglo XP Brews x5, Greater Arcane Potion x6, silver x100,000
BECURSED	Cormac the Highpeak, Moglo XP Brews x15, three-day EXP Boost, Energy Refills x3
DASPIEL 2024LIEBE	Chonoru, silver x:300,000, Three-Star Chicken
XOXO25	Fenax, Tallia
BOUNTY	Fenshi, Force Brews x10, Greater Force Potions x10, Silver x200,000
PESTCONTROL	Hoskorul, Spirit Brews x10, Silver x200,000, Greater Spirit Potions x10
LILHELPER	Jinglehunter, Spirit Brews x10, Silver x200,000, Greater Spirit Potions x10
2GT24Knight	Knight-Errant, Silver x100,000
RAIDWITHKYTIS	Energy Refill x5, Spirit Brews x6, Silver x200,000, 20 Multi-Bottles x2, silver x100,000 after level 10, silver x160,000 and Spirit Brews x5 after level 20, kytis and silver x200,000 after level 26
GETLOKI	Loki The Deceiver, Spirit Brews x15, Silver x300,000, Greater Spirit Potions x15
LURIA	Luria, Spirit Brews x5, Greater Arcane Potions x6, Silver x100,000
2QLRAID	Luthica, Energy Refil x1, XP Brews x15, Multi-Bottles x20, silver x160,000
CHUG	Melga Steelgirdle, Spirit Brews x10, Silver x300,000
MAGEOUT	Mausoleum Mage, Energy Refills x6, Silver x300,000, three-day XP Booster, Force Brews x30
FIREBURN	Mordecai, Multi-Bottles x60, Force XP Brews x10, Silver x200,000
MYCELIUM	Mycelioo Priest Om, Spirit Brews x10, Silver x200,000, Greater Spirit Potions x10
GETOBORO	Oboro, Void XP Brews x10, Greater Arcane Potions x6, Silver x300,000
REVIVER	Rector Droth, Force Brews x10, Silver x300,000
MIDGAMETOP	Sigmund the Highshield, Energy x100, Moglo Brews x6, Silver x700,000, Multi-Bottles x60, Greater Arcane Potions x6, three- day EXP Boost, silver Chest
HUNTMASTER	Stog Knight, Spirit Brews x15, Silver x160,000, Greater Arcane Potions x16
MONKEYKING	Sun Wukong, Spirit XP Brews x16, Greater Spirit Potions x15, Silver x300,000
SUPREME6	Supreme Golek, Void Brews x26, Great Void Potions x5, Silver x300,000
DEMONSLAYER	Tholin Foulbe, Greater Spirit Potions x16, Silver x300,000
STONECOLD	Thylessia, Force Brews x25, Three-Stor Chickens x3, Epio Skil Tomes x3, Silver x300,000
FREEFROG	Torogi the Frog, silver x200,000, Magic Brews x20
SUBSCRIBEMIDGAMECHANNEL Urticato, Spirit Brews x10, silver x100,000
